"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.23,9.24,0,0,0,0,0,0,0,0,0,0,0,0,0,17.18,0,0,6.42,0,0,0.16,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group",7.24,0,0,0,0,0,0,26,0,0,0,0,0,0,0,6.23,0.78,0,14.23,0,0,42.34,0,0,0,0,0,0,28.86,17.08,17.25,41.78,66.91,22.99,33.18,22.63,27.15,0,0,5.55,12.72,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NC2004_group",0.64,0,0,0,3,0,0,0,1.18,0,0,0,0,0,0.79,0,0,0,0,0,0,0,1.25,0.98,6.12,4.87,1.55,0,2.61,0,0,0,1.01,0,1.63,0,0.5,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group",0,0,0,0,39,0,0,0,0,0,51.4,0,0,0,36.05,26.31,42.81,36.45,47.28,67.04,14.81,117.88,0,0,0,0,0,54.67,0,2.48,16.54,2.28,2.77,0,3.19,0,1.81,0,0,71.49,183.85,58.8
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group",55.78,999,0,0,258,0,5.96,0,0,0,176.18,0,0,0,0,205.92,55.31,277.31,383.1,12.27,23.8,163.98,129.93,51.15,32.89,0,0,222.95,12.22,12.44,101.82,3.15,19.34,0,21.21,4.81,37.19,119.04,59.82,122.55,87.96,326.8
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4B4_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35,0,0,3.68,0,0,1.35,12.61,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001",31.63,0,0,0,55,0,0,0,0,18,86.02,0,0,0,0,12.1,0,67.33,16.93,0,10.67,251.53,0,0,0,163.28,0,20.29,0,0,1.25,0,4.81,4.52,0,3.08,0,66.07,15.12,8.36,50.06,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46,0,0,0,0,0,2.97,0,15.12,3,0,0,2.48,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004",109.46,0,0,0,28,0,201.14,28,123.9,153,139.53,0,74.01,0,218.25,26.71,54.11,198.5,50.53,460.91,28.72,55.06,45.11,11.35,541.71,225.81,0,35.62,0,0,0,0,0,0.49,0,0,0.27,0,0,0,42.03,25.19
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-008",0,0,0,0,3,0,0,0,2.35,0,19.47,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,11.62,5.33,3.19,0,0.75,0,0,0,0,0,0.72,0,0,0,0,2.59
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010",0,0,0,0,0,0,256.44,9,0,86,19.84,409.96,0,0,78.34,0,0,112.23,65.64,15.5,122.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lactonifactor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.43,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,9.49,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia",0,0,13.31,0,0,0,0,0,0,0,0,0,0,0,0,7.13,0,0,0,0,0,0,0,31.83,0,0,0,0,0,36.56,67.36,55.09,25.5,99.65,20.69,0,19.25,9.84,0,0,21.35,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Moryella",0,0,0,0,0,0,0,0,0,0,0,43.22,0,0,0,0,0,32.16,0,0,0,0,0,26.87,0,0,0,0,0,4.52,3.86,0,0,0,0,0,3,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia",359.11,0,36.89,0,53,0,694.78,35,0,367,2427.76,0,5892.21,0,273.17,433.81,431.87,131.56,199.69,318.29,256.33,1813.89,0,0,5661.64,829.57,81.72,539.8,40.08,7.18,142.27,15.5,125.69,92.84,21.06,11.22,41.22,10.22,167.67,29.39,243.28,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas",70.21,37,6.57,0,34,0,0,0,0,17,0,0,0,215.28,0,0,0,0,11.22,0,0,0,58.16,4.92,0,95.55,211.33,21.58,6.63,0,0,0,0,0,0,0,1.79,0,95.98,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Shuttleworthia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,32.46,0,0,0,1.56,0,0,0,0,4.55,0.63,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella",0,33,696.53,0,0,0,0,0,0,21,0,0,5.33,0,5.42,0,0,0,58,0,0,0,22.75,0,19.4,0,11.33,24.27,0,0,89.4,0,0,4.34,0,0,162.26,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UC5-1-2E3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,2.99,8.65,1.18,0,0,4.78,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured",17.28,0,0,0,21,0,29.28,0,0,0,94.03,81.29,0,23.02,20.15,0,15.58,42.27,0,0,105.5,0,0,8.64,18.17,4.11,0,10.17,8.19,11.98,40.39,22.59,0,12.54,16.97,52.74,7.16,15.91,37.31,6.96,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus",21.73,0,0,0,45,0,0,65,0,0,0,0,0,0,18.23,0,37.26,143.48,70.3,4.31,124.14,158.75,0,641.23,0,336.87,37.92,50.84,117.71,24.68,128.4,231.12,517.72,100.54,40.15,64.71,34.77,13.55,388.68,28.16,135.89,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__;__",0,0,0,0,11,0,0,0,0,6,11.59,0,0,0,0,43.03,5.9,0,7.18,0,15.84,0,0,0.9,0,0.86,0,5.81,0,0,5.03,0,2.15,12.22,0,2.9,21.25,62.25,2.36,62.62,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group",40.79,0,0,0,36,0,0,6,0,41,7.5,0,0,0,0,707.07,57.66,0,324.98,0,27.25,47.58,62.55,9.55,0,32.28,251.18,109.91,103.33,115.15,492.07,214.82,71.81,696.53,43.49,83.41,456.52,437.01,51.19,494.62,30.49,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus",39.65,0,84.56,0,92,4.82,609.82,73,52.18,13,10.25,116.16,25.94,0,11.8,19.89,22.58,161.44,124.3,0,56.04,169.79,7.3,8.57,184.83,264.77,513.42,117.95,103.68,24.75,351.25,266.12,210.73,21.24,28.28,22.39,2.28,24.87,162.86,68.58,370.88,36.68
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95,0,0,0,0,0,0,0,4.38,0,0,0,0,0,2.33,0,0,1.99,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38,0,0,14.59,0,0,0,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,1.56,11.21,0,2.95,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Acetanaerobacterium",1.97,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__",0,0,0,0,0,0,0,0,0,0,2.46,2.93,0,0,0,65.2,0,4.87,0,2.01,22.79,0,14.52,2.21,0,2.46,0,0,1.43,0,86.66,0,8.32,0.69,3,0,1.69,0,0,2.13,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter",205.17,0,0,0,12,7.4,0,0,64.78,0,29.62,2.15,218.28,704.05,0,31.27,62.82,24.04,93.06,9.67,112.34,53.89,0,3.93,90.42,6.64,131.61,16.12,1.64,11.27,46.18,0,0,10.38,0,0,13.29,57.44,0,29.13,47.87,77.93
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor",214.62,49,822.72,0,12,84.24,70.78,48,319.1,20,31.08,213.79,592.34,474.83,81.87,7.61,21.49,0,42.78,31.65,11.46,0,416,24.28,123.89,96.44,74.45,37.41,3.46,0,2.11,0,3.6,7.67,6.97,0,12.58,51.33,45.92,38.92,19.97,34.64
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas",0,0,0,0,16,0,0,0,7.98,0,2.27,0,0,0,0,14.59,1.18,0,0,0,44.51,0,321.86,0.94,0,13.97,6.44,0,0,0,26.36,0,0,14.57,4.48,7.41,9.65,150.34,13.38,43.5,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group",0,0,0,0,12,0,0,34,0,22,33.97,0,0,0,0,213.53,48.22,31.48,19.37,0,129.59,11.37,0,0,0,0,0,0,301.31,15.94,38.42,0,0,227.82,200.19,0,359.79,148.9,5.8,99.62,1.38,21.64
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter",114.44,0,0,0,34,0,10.19,4,4.45,0,50.49,0,10.78,57.25,0,25.16,42.61,15.09,59.39,12.04,57.5,0,174.83,4.25,0,32.73,108.21,34.14,0,0,0,0,0,5.38,0.74,0,2.44,75.04,11.58,201.14,3.5,48.48
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillospira",0,0,0,0,8,0,0,0,0,0,5.16,0,0,0,0,63.42,0,9.36,23.66,0,0,0,1236.46,5.01,0,10.37,4.15,2.63,0,0,19.66,0,0,0,0,0,0,58.92,2.25,204.46,0,8.79
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Papillibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0,0,2.57,1.14,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002",0,0,0,0,173,0,0,29,28.2,38,412.49,76.65,0,0,0,1699.21,35.02,190.06,316.09,0,175.21,43.3,0,8.48,0,179.6,101.31,0,33.47,54.96,472.84,5.13,46.48,278.45,57.47,332.35,452.73,1177.79,0,565.55,5.94,209.25
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003",0,0,0,0,0,0,0,0,120.48,102,119.2,19.06,0,0,0,180.87,46.1,107.04,84.64,0,80.42,52.13,0,20.99,0,44.42,0,0,0,0,20.74,0,1.43,6.23,4.45,0,28.01,63.55,0,0,2.78,168.43
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005",3.31,0,0,0,122,0,0,0,0,0,77.91,0,0,1.73,0,1066.92,14.48,23.64,49.46,0,209.84,0,59.56,1.72,0,82.99,63.69,25.17,34.44,43.5,80.41,4.7,4.31,128.31,35.73,187.24,260.5,96.31,0,622.17,3.72,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured",12.88,0,0,0,18,0,0,0,0,0,25.27,103.02,0,0,0,34.5,52.35,76.65,99.41,62.85,16.57,0,5.47,69.33,0,0,122.67,44.86,253.97,263.97,250.79,57.81,374.59,404.28,258.14,338.97,173.09,110.89,137.11,103.3,38.59,21.67
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospirales;g__Hydrogenoanaerobacterium",0,0,0,0,0,0,0,0,0,0,2.71,0,0,3.12,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85,0,0,0,0,2.51,1.31,56.75,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__",0,0,11.47,0,18,0,2.27,0,1.72,0,0,0,0,0,0,13.14,1.73,2.63,12.67,0,6.38,14.02,0,7.58,0,7.84,5.84,3.12,285.07,4.11,26.19,2.72,11.98,12.02,0,14.69,19.39,9.3,50.06,49.66,0,2.11
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.49,0,0,0,0,13.93,0,0,127.36,0,184.4,0,6.02,24.12,0,21.51,5.92,102.19,14.87,28.06,187.61,35.88,4.3,131.57,11.9,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerofilum",0,0,0,0,0,0,0,0,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus",0,6,0,0,0,0,0,0,0,0,9.66,8.63,0,19.46,0,1.24,1.77,0,0,0,3.39,0,75.69,0,0,8.4,0,0,0,0,77.81,0,0,7.3,0,4.08,19.66,80.41,0,6.19,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella",0,0,0,0,11,0,0,0,0,0,6.45,0,0,0,0,11.94,0,2.11,3.65,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,10.78,0,6.21,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352",268.54,0,0,0,373,38.4,0,33,0,0,0,0,0,0,124.07,133.16,4059.58,0,375.46,1719.98,564.12,0,0,4690.81,0,1549.64,1472.49,1724.15,4413.83,4672.76,1728.03,2909.12,5437,636.03,0,4148.8,1156.03,344.96,1488.51,3641.2,36.29,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Candidatus_Soleaferrea",2.44,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,1.85,0,4.07,2.9,0,1.6,0,0,0,0,3.97,3.59,0,0,5.13,2.71,0,0,3.05,7.07,0,3.51,3.77,3.5,2.38,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Caproiciproducens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__DTU089",26.49,0,0,0,0,0,0,0,0,0,0,0,31.79,10,0,20.4,11.63,0,15.35,10.54,8.21,0,0,0,0,6.87,0,0,2.9,4.19,3.41,2.05,0,14.18,0,0,17.25,12.04,22.65,12.18,5.2,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium",2142.84,0,1511.8,16.47,4491,1826.34,1099.56,1122,9735.99,8900,1226.72,730.16,0,0,1019.82,502.26,5142.21,6809.35,1929.22,3911.46,1560.01,7874.02,210.06,2015.97,6729.72,6055.91,932.52,7579.25,239.1,95.21,248.87,47.9,246.26,51.51,108.7,41.27,401.63,610.23,53.05,1398.25,1979.95,938.16
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,4.17,0,4.71,0,0,0,3.69,0,0,0,0,0,53.34,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis",37.53,4,2.2,0,26,3.25,26.26,25,139.58,12,11.32,48.64,59.11,62.68,8.83,36.79,18.87,82.41,158.28,78.19,110.48,78.32,23.24,283.44,37.4,64.07,191.93,220.25,311.2,148.73,637.32,218.01,40.3,262.78,1951.28,1358.97,2624.95,100.07,27.6,330.08,88.96,317.2
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus",0,0,0,0,19,0,0,0,0,15,0,0,0,0,0,40.57,47.89,10,51.86,10.52,21.78,0,0,0,0,0,7.89,2.88,0,0,0,0,0,3.37,0,0,3.94,68.55,2.11,34.31,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,2.47,0,0,3.03,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Phocea",2.31,0,0,0,0,0,0,0,0,0,3.61,0,0,8.53,0,0,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus",228.97,0,0,0,244,0,0,22,0,0,1.07,0,0,0,18.36,50.1,206.65,0,499.93,43.4,370.69,296.97,113.17,6.59,0,3133.62,745.47,668.8,55.2,324.93,106.45,16,26.44,24.14,182.31,0,64.41,76.74,235.14,293.19,3.79,37.24
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum",915.98,0,0,0,3766,0,9.52,362,539.97,5,0,2516.56,0,0,3358.15,1648.53,678.03,923.02,293.43,281.56,229.38,820.46,0,5822.05,0,4279.82,356.82,357.1,2116.69,2264.18,369.57,2981.81,2052.52,524.31,924.26,1742.05,277.35,291.69,7387.83,1929.28,3368.98,1609.86
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819",35.69,38,34.66,0,0,187.78,0,19,55.66,0,35.36,50.18,71.07,490.03,0,22.69,9.45,0,15.25,5.29,28.22,0,476.8,7.69,0,0,61.66,3.69,80.06,11.45,16.25,8.6,0,261.84,47.43,17.76,38.84,221.88,43.2,37.59,4.68,79.58
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured",39.99,0,0,0,9,0,0,0,0,5,44.16,20.7,0,0,0,259.17,0,33.26,35.48,96.43,22.12,0,0,0.83,0,43.53,0,9.41,9.23,3.52,24.3,0,8.86,24.15,16.08,23.08,60.1,80.75,15.64,36.12,14.72,23.51
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__UCG-010",0,0,0,0,3,0,0,0,0,0,1.6,0,0,0,0,303.18,0,0,0,0,36.38,0,0,0,0,0,0,0,2.41,2.07,84.51,0,1.15,61.05,0,4.75,69.43,82.32,1.1,153.57,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus",0,0,0,0,0,22.46,0,0,0,0,0,0,0,0,0,0,0,16.44,0,0,0,0,0,0,0,1.32,0,0,101.55,0,0,0,0,0,0,0,0.18,1.71,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__uncultured",5.61,0,0,0,0,0,0,0,0,0,20.77,0,0,0,0,9.21,0,0,0,0,10.44,0,0,0,0,0,0,0,1.21,0,17.51,0,9.16,0,0,0,5.99,23.64,0,16.33,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;__",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,0,5.09,0,0,9.21,0,0,21.75,0,13.38,17.81,8.05,9.83,2.83,2.18,8.13,25.79,20.05,0,39.58,2.58,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,0,2.76,0,113.92,0,0,1.41,0,2.04,0,0,3.4,0,0,0.86,0,0,0.3,0,4.6,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group",0,0,0,0,0,0,0,0,8.2,0,10.36,110.92,0,0,0,34.82,0,7.83,0,0,9.38,0,0,13.73,0,0,6.58,0,71.16,22.14,64.83,21.9,19.07,136.71,23.75,338.03,56.96,24.99,21.66,33.61,3.41,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_UCG-001",0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,7.72,13.66,33.91,0,0,3.02,0,0,0,0,0,0,12.24,0,0,6.92,0,0,4.94,0,36.24,13.45,10.28,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Mogibacterium",0,0,0,5.81,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,4.23,0,0,0.92,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__S5-A14a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;__",0,0,2.05,0,0,0,1.79,0,0,0,0,2.08,3.6,2.26,0,0,1.6,0,0,0,0,0,0,0,0,0,4.74,2.32,1.59,1.79,0,0.84,0,0.74,1.89,2.49,0,0,3.72,0.68,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Clostridioides",0,184,0,0,0,16.27,0,0,0,0,0,0,806.87,1000.41,0,10.32,0,0,0,0,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
