"","012618.SM1","012618.SM100","012618.SM101","012618.SM102","012618.SM104","012618.SM105","012618.SM106","012618.SM107","012618.SM110","012618.SM24","012618.SM33","012618.SM92","012618.SM97","012618.SM99","060619.SM66","060619.SM89","060619.SM92","060619.SM95","090918.SM113","090918.SM12","090918.SM44","090918.SM59","3.1","4.8.08","6.14","PT.11","PT.12","PT.16","PT.23","PT.28","PT.36","PT.40","PT.52","PT.55","PT.56","PT.57","PT.58","PT.6","PT.68","PT.7","PT.8","PT.9"
"d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.88,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,2.09,0,0,0.03,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira",88.74,0,0,0,67.07,0,5.45,31.26,0,24.01,749.49,0,0,1.51,31.53,39.61,63.82,69.45,136.6,0,12.27,180.8,0,6.19,7.11,292.81,21.01,19.09,0,0,0.93,0.45,0.97,0,0,0,6.72,14.96,0,55.21,137.3,71.8
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group",2.14,0,0,0,0,0,0,10.44,0,0,0,0,0,0,0,1.85,0.29,0,4.8,0,0,14.02,0,0,0,0,0,0,9.61,5.81,5.56,14.32,21.97,7.4,10.91,7.54,8.25,0,0,2.07,3.85,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NC2004_group",0.17,0,0,0,1.57,0,0,0,0.3,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0.38,0.31,2.15,1.58,0.6,0,0.98,0,0,0,0.31,0,0.55,0,0.22,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group",0,0,0,0,20.87,0,0,0,0,0,17.48,0,0,0,11.81,8.3,14.14,12.91,15.33,22,5.52,39.45,0,0,0,0,0,18.23,0,0.76,5.95,0.68,0.81,0,0.97,0,0.48,0,0,23.66,61.06,19.19
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group",18.6,736.31,0,0,136.59,0,1.78,0,0,0,59.46,0,0,0,0,68.48,18.37,92.33,128.16,4.65,7.8,54.7,42.77,17.18,10.93,0,0,75.49,4.25,4.24,34.45,1.17,6.73,0,7.43,1.53,12.14,40.29,20.66,42.19,28.92,107.76
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4B4_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,1.17,0,0,0.41,4.38,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001",10.9,0,0,0,29.02,0,0,0,0,8.02,28.84,0,0,0,0,4.01,0,22.17,5.58,0,3.44,83.15,0,0,0,55.25,0,6.83,0,0,0.48,0,1.61,1.33,0,1.17,0,22.02,4.84,2.66,16.81,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0.9,0,5.13,1.17,0,0,0.81,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004",37.54,0,0,0,14.51,0,66.46,10.85,41.58,68.95,46.47,0,24.12,0,72.55,8.6,18.28,65.58,16.46,152.9,9.58,17.97,14.57,3.71,180.96,75.5,0,12,0,0,0,0,0,0.22,0,0,0.14,0,0,0,13.97,8.71
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-008",0,0,0,0,1.6,0,0,0,0.81,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,3.81,1.66,1.06,0,0.2,0,0,0,0,0,0.26,0,0,0,0,0.97
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010",0,0,0,0,0,0,84.73,3.48,0,38.44,6.51,135.9,0,0,25.74,0,0,36.95,23.15,5.29,41.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lactonifactor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,3.2,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia",0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,10.52,0,0,0,0,0,12.92,23.19,18.54,8.87,33.74,6.42,0,6.44,3.09,0,0,6.99,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Moryella",0,0,0,0,0,0,0,0,0,0,0,14.32,0,0,0,0,0,10.33,0,0,0,0,0,8.66,0,0,0,0,0,1.32,1.44,0,0,0,0,0,1.26,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia",119.02,0,12.72,0,28.45,0,232.66,13.75,0,166.77,807.06,0,1966.9,0,91.48,143.67,144.58,44.37,65.55,106.16,85.28,606.07,0,0,1880,274.59,26.46,181.12,13.39,2.59,47.49,5.38,41.73,31.39,6.97,3.66,13.24,3.83,54.46,9.75,82.32,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas",23.11,27.44,1.85,0,17.69,0,0,0,0,7.38,0,0,0,70.82,0,0,0,0,3.68,0,0,0,19.95,1.46,0,32.82,71.35,7.73,2.13,0,0,0,0,0,0,0,0.68,0,31.66,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Shuttleworthia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,10.94,0,0,0,0.55,0,0,0,0,1.35,0.21,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella",0,24.12,233.79,0,0,0,0,0,0,9.38,0,0,1.74,0,1.78,0,0,0,19.43,0,0,0,7.61,0,6.5,0,3.79,8.09,0,0,30.31,0,0,1.39,0,0,54,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UC5-1-2E3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0.94,2.56,0.36,0,0,1.31,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured",5.83,0,0,0,11.45,0,9.76,0,0,0,31.32,27.24,0,7.79,6.96,0,5.15,13.76,0,0,35.32,0,0,2.91,5.74,1.44,0,3.54,2.75,4.24,13.55,8.68,0,4.6,6.09,17.98,2.56,5.03,11.98,2.37,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus",7.6,0,0,0,23.79,0,0,25.52,0,0,0,0,0,0,5.7,0,12.75,47.83,23.07,1.68,40.64,52.58,0,213.98,0,110.87,12.7,17.66,39.74,8.09,43.51,78.12,171.65,34.23,13.23,21.18,11.07,4.37,131.37,9.12,44.53,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__;__",0,0,0,0,5.68,0,0,0,0,2.58,4.04,0,0,0,0,13.84,1.98,0,2.27,0,4.91,0,0,0.3,0,0.35,0,1.92,0,0,1.9,0,0.75,4.25,0,0.78,7.26,20.78,0.66,21.44,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group",13.81,0,0,0,18.52,0,0,2.28,0,18.15,2.81,0,0,0,0,232.57,19.17,0,107.65,0,8.92,15.83,20.61,3.06,0,11.16,82.99,38.07,34.09,37.46,164.93,72.26,23.98,232.56,14.05,27.09,150.84,145,17.36,170.16,10.35,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus",13.1,0,27.74,0,48.5,1.72,205.44,29.84,17.02,5.9,3.41,39.15,8.41,0,3.79,6.63,7.14,53.07,41.92,0,18.92,56.6,2.74,2.81,62.75,88.22,171.03,39.36,34.18,8.87,117.72,89.31,70.93,7.09,9.07,7.73,0.85,8.55,52.74,22.23,125.4,12.1
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0.71,0,0,0.68,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0,4.77,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0.35,3.82,0,0.88,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Acetanaerobacterium",0.61,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__",0,0,0,0,0,0,0,0,0,0,1.07,0.86,0,0,0,21.79,0,1.58,0,0.62,8.03,0,4.75,0.72,0,0.73,0,0,0.57,0,28.36,0,2.98,0.22,0.92,0,0.53,0,0,0.6,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Colidextribacter",69.09,0,0,0,6.29,2.28,0,0,21.26,0,9.94,0.72,73.19,233.52,0,10.19,21,8.34,31.14,2.98,36.57,17.65,0,1.38,30.65,2.21,42.86,5.06,0.59,3.76,15.36,0,0,3.55,0,0,4.14,19.52,0,9.48,15.06,25.76
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor",73.59,36.05,276.03,0,6.38,28.29,23.22,19.41,106.36,8.85,10.19,72.09,196.95,157.24,28.12,2.1,7.65,0,13.95,10.74,3.76,0,136.04,8.36,40.52,32.16,25.48,12.49,1.15,0,0.65,0,1.11,2.58,2.41,0,4.27,16.98,16.03,13.26,6.8,11.32
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas",0,0,0,0,8.81,0,0,0,2.78,0,0.83,0,0,0,0,4.57,0.38,0,0,0,14.16,0,106.75,0.37,0,4.52,2.12,0,0,0,8.79,0,0,4.38,1.37,2.28,3.15,49.24,4.45,14.79,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group",0,0,0,0,6.02,0,0,13.23,0,9.68,12.35,0,0,0,0,72.01,15.95,10.7,6.28,0,43.07,3.81,0,0,0,0,0,0,100.15,5.62,12.5,0,0,77.15,66.67,0,123.15,49.52,1.84,33.95,0.45,7.75
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter",38.65,0,0,0,18.13,0,3.12,1.5,1.72,0,15.99,0,3.56,18.51,0,8.52,14.04,5.06,19.95,4.07,19.65,0,57.59,1.37,0,11.19,35.21,11.75,0,0,0,0,0,1.77,0.28,0,0.97,24.55,3.78,66.65,1.22,16
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillospira",0,0,0,0,4.3,0,0,0,0,0,1.74,0,0,0,0,21.41,0,3.3,7.64,0,0,0,413.21,1.58,0,3.25,1.36,0.76,0,0,6.67,0,0,0,0,0,0,19.71,0.75,67.93,0,2.57
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Papillibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0.79,0.57,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002",0,0,0,0,91.79,0,0,10.9,9.12,17.26,137.01,25.18,0,0,0,564.44,12.32,62.96,104.87,0,58.04,14.03,0,2.98,0,60.02,33.49,0,10.98,18.18,155.99,1.65,15.64,94.08,19.48,111.53,151.43,398.37,0,186.44,1.97,69.48
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003",0,0,0,0,0,0,0,0,40.91,46.34,39.68,6.41,0,0,0,61.91,15.02,35.86,29.21,0,27.08,16.98,0,6.75,0,15.02,0,0,0,0,6.55,0,0.5,2.34,1.68,0,9.54,21.08,0,0,0.97,55.38
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005",1.17,0,0,0,65.15,0,0,0,0,0,25,0,0,0.62,0,356.06,4.74,8.05,17.17,0,69.92,0,19.28,0.54,0,28.48,21,8.21,11.25,14.36,27.4,1.71,1.36,41.75,12.44,63.47,85.99,32.52,0,208.86,1.05,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured",4.15,0,0,0,9.59,0,0,0,0,0,8.4,34.19,0,0,0,11.15,17.84,25.16,33.04,21.33,5.79,0,1.61,23.51,0,0,40.87,14.29,85.87,88.73,83.6,18.78,125.3,134.26,85.54,111.83,58.87,37.04,45.24,34.52,12.47,7.09
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospirales;g__Hydrogenoanaerobacterium",0,0,0,0,0,0,0,0,0,0,0.99,0,0,1.12,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0.77,0.3,19.19,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__",0,0,3.77,0,9.55,0,0.83,0,0.63,0,0,0,0,0,0,4.37,0.51,0.78,4.21,0,2.05,4.89,0,2.69,0,2.64,1.94,0.99,96.63,1.51,8.74,0.88,4.06,3.66,0,4.77,6.28,3.09,16,15.93,0,0.82
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.97,0,0,0,0,4.58,0,0,42.02,0,60.64,0,2.18,8.34,0,7.2,1.91,33.5,4.99,9.71,63.3,11.6,1.19,44.58,3.54,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerofilum",0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus",0,4.31,0,0,0,0,0,0,0,0,3.35,2.82,0,6.32,0,0.38,0.58,0,0,0,0.93,0,24.56,0,0,2.84,0,0,0,0,26.87,0,0,2.6,0,1.65,6.67,26.8,0,1.97,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella",0,0,0,0,6.21,0,0,0,0,0,2.21,0,0,0,0,3.81,0,0.51,1.33,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,3.94,0,2.28,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352",88.52,0,0,0,200.15,12.54,0,12.93,0,0,0,0,0,0,40.62,44.23,1352.7,0,125.78,574.28,188.56,0,0,1559.26,0,518.3,489.33,575.75,1474.01,1548.22,578.83,958.48,1815.57,213.88,0,1380.82,384.29,115.7,499.4,1209.77,12.24,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Candidatus_Soleaferrea",0.81,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0.62,0,1.3,0.97,0,0.47,0,0,0,0,1.26,1.24,0,0,1.76,0.77,0,0,0.88,2.38,0,1.21,1.24,1.2,1.08,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Caproiciproducens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__DTU089",8.84,0,0,0,0,0,0,0,0,0,0,0,10.11,3.19,0,7.13,4.14,0,5.42,3.52,2.5,0,0,0,0,2.64,0,0,0.94,1.51,1.15,0.93,0,4.41,0,0,5.41,4.21,7.23,4.17,1.88,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium",714.16,0,501.1,5.52,2382.2,606.65,366.24,441.3,3247.93,4012.78,406.89,243.3,0,0,341.07,169.88,1716.64,2276.14,641.58,1309.94,519.69,2625.52,69.92,667.29,2237.7,2025.05,310.47,2524.32,79.51,31.55,83.41,15.94,83.65,16.29,35.55,13.77,135.09,203.44,17.9,467.63,657.58,313.07
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,1.48,0,1.54,0,0,0,1.26,0,0,0,0,0,17.49,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis",11.92,2.98,0.69,0,14.05,0.98,8.5,10.22,46.61,5.39,3.63,16.34,19.81,20.44,2.91,13.06,6.13,27.34,51.97,25.84,36.79,25.68,7.69,94.35,13.06,20.1,62.53,74.16,104.38,48.38,213.28,73.26,13.34,89.13,651.11,452.52,876.38,34.04,9.29,110.42,30.53,104.85
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus",0,0,0,0,9.94,0,0,0,0,6.77,0,0,0,0,0,13.71,15.13,3.2,17.65,3.56,7.77,0,0,0,0,0,2.8,1.06,0,0,0,0,0,1.13,0,0,1.19,22.68,0.72,12.04,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0.81,0,0,0.9,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Phocea",0.69,0,0,0,0,0,0,0,0,0,1.24,0,0,2.73,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus",74.9,0,0,0,129.16,0,0,8.37,0,0,0.36,0,0,0,6.02,16.83,67.33,0,166.47,14.7,122.17,99.6,37.23,2.18,0,1042.26,250.27,224.01,18.99,107.47,35.48,5.9,9.16,8.48,61.72,0,22.13,25.85,78.91,97.47,1.25,12.45
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum",305.24,0,0,0,1998.14,0,2.98,141.75,176.83,2.09,0,835.04,0,0,1116,550.28,228.82,306.75,98.05,92.78,76.22,272.99,0,1948.55,0,1423.66,117.92,120.52,702.51,757.47,122.67,999.75,681.28,175.22,305.4,578.06,92.75,95.66,2457.42,643.94,1128.26,536.15
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819",12.46,28.37,11.89,0,0,61.53,0,7.75,18.88,0,10.79,17.16,23.67,163.24,0,7.52,2.9,0,4.67,2.01,9.82,0,157.68,2.38,0,0,20.07,1.34,27.07,3.61,5.25,2.77,0,88.44,16.14,6.08,12.54,74.15,14.24,12.85,1.49,26.24
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured",13.21,0,0,0,4.96,0,0,0,0,2.27,14.62,6.79,0,0,0,85.23,0,10.86,12.37,32.27,8.12,0,0,0.32,0,14.76,0,3.06,3.25,1.34,7.76,0,2.97,7.67,5.42,7.31,19.35,27.19,5.04,12.81,4.75,7.52
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__UCG-010",0,0,0,0,1.53,0,0,0,0,0,0.52,0,0,0,0,101.23,0,0,0,0,11.77,0,0,0,0,0,0,0,0.8,0.79,29.1,0,0.24,20.39,0,1.84,23.63,28.1,0.26,51.48,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus",0,0,0,0,0,7.42,0,0,0,0,0,0,0,0,0,0,0,5.23,0,0,0,0,0,0,0,0.49,0,0,32.84,0,0,0,0,0,0,0,0.04,0.37,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__uncultured",1.57,0,0,0,0,0,0,0,0,0,7.26,0,0,0,0,3.03,0,0,0,0,3.26,0,0,0,0,0,0,0,0.39,0,5.71,0,3.34,0,0,0,2.15,7.68,0,5.45,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;__",0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,1.84,0,0,3.23,0,0,7,0,4.35,5.58,2.67,3.41,0.95,0.65,2.69,8.27,6.54,0,13.36,0.89,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0.89,0,38.5,0,0,0.58,0,0.62,0,0,1.09,0,0,0.27,0,0,0.14,0,1.32,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group",0,0,0,0,0,0,0,0,2.67,0,3.22,37.26,0,0,0,11.67,0,2.33,0,0,2.97,0,0,4.88,0,0,2.19,0,23.36,7.16,20.96,7.42,6.63,44.42,8.19,110.63,18.25,8.37,7.21,11.89,0.93,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_UCG-001",0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,3.01,4.67,12.26,0,0,0.98,0,0,0,0,0,0,4.2,0,0,2.82,0,0,1.75,0,11.94,4.64,3.31,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Mogibacterium",0,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,1.36,0,0,0.22,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__S5-A14a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;__",0,0,0.67,0,0,0,0.59,0,0,0,0,0.7,1.18,0.82,0,0,0.42,0,0,0,0,0,0,0,0,0,1.53,0.68,0.51,0.63,0,0.3,0,0.25,0.72,0.82,0,0,1.33,0.25,0,0
